"TL0_1"	"TL0_2"	"TL0_3"	"TL1_1"	"TL1_2"	"TL1_3"
"LOC107758905"	30	28	27	55	52	35
"LOC107813361"	224	213	282	184	198	280
"LOC107821652"	0	0	0	0	0	0
"LOC107830082"	0	0	0	0	0	0
"LOC107764536"	4	3	11	0	6	4
"LOC107795211"	44	54	73	50	78	64
"LOC107803580"	21	47	33	74	42	52
"LOC107773029"	0	0	0	0	0	0
"LOC107781345"	0	0	0	4	2	0
"LOC107811824"	33	19	30	13	18	48
"LOC107813916"	357	260	399	319	341	572
"LOC107814735"	99	111	157	77	111	108
"LOC107816098"	2172	1978	2814	2229	2127	2306
"LOC107818590"	125	280	245	321	466	264
"LOC107819422"	55	72	47	2	0	14
"LOC107821926"	443	440	619	568	554	684
"LOC107821084"	2811	2053	2886	1590	1610	1545
"LOC107822785"	5846	3235	6582	1990	2793	2018
"LOC107823620"	2058	1384	2309	1157	1516	1357
"LOC107825895"	0	0	0	0	0	0
"LOC107826719"	32	17	37	10	12	17
"LOC107828385"	0	0	0	0	0	0
"LOC107829198"	84	106	102	116	148	160
"LOC107830879"	6	20	11	14	8	8
"LOC107830083"	6	2	12	0	2	4
"LOC107832292"	0	0	0	0	0	0
"LOC107758906"	911	859	966	716	744	880
"LOC107759712"	522	588	590	580	540	427
"LOC107760576"	93	58	101	30	18	68
"LOC107761413"	119	116	130	196	199	266
"LOC107762248"	310	384	285	296	345	394
"LOC107763098"	100	78	123	91	89	109
"LOC107764831"	44	38	35	30	20	29
"LOC107767047"	0	0	0	0	0	0
"LOC107767569"	30	60	6	64	110	139
"LOC107766218"	22	14	29	9	4	14
"LOC107768409"	93	72	101	73	65	78
"LOC107770998"	111	127	124	84	115	142
"LOC107769251"	0	0	0	0	0	0
"LOC107771827"	241	166	318	207	194	227
"LOC107773978"	111	141	115	170	158	168
"LOC107774762"	125	100	151	40	48	70
"LOC107770114"	304	290	321	106	141	177
"LOC107775605"	0	0	0	0	0	0
"LOC107777241"	66523	49146	63141	186271	183228	172741
"LOC107778023"	1801	1913	1751	1831	1923	2140
"LOC107776412"	0	0	6	2	0	2
"LOC107778861"	0	0	0	0	0	0
"LOC107779676"	0	10	7	0	1	4
"LOC107780519"	23	42	27	36	55	66
"LOC107781346"	1514	1355	1706	502	335	437
